State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Virginia,51,Surry,2625,-1.99E-17,-0.200263447,0.227064699,0.042425847,0.687082668,-0.354672027
Kansas,20,Wabaunsee,2626,-1.40E-16,0.028672603,0.964074409,0.345414296,1.146669254,0.044992407
Virginia,51,Galax,2627,0,-0.231292457,0.981660994,-0.109945878,1.483358029,-0.052997204
Virginia,51,Lexington,2628,-5.12E-17,0.264359343,0.475269219,0.010586417,0.863150387,-0.400817389
Texas,48,Childress,2629,2.43E-17,-0.12515739,-1.095429339,0.371564084,-0.76493214,0.049585068
Idaho,16,Boise,2630,-1.34E-16,-0.03874626,0.500636689,0.191012578,0.818795752,-0.531505389
Montana,30,Powell,2631,-3.43E-16,0.302332183,1.053835201,-0.165694934,1.095878119,-0.603640797
Oregon,41,Wallowa,2632,1.68E-16,0.213173197,-0.704985797,0.241006211,-0.811097302,-0.288669006
Kansas,20,Pawnee,2633,4.86E-17,-0.254879835,0.983893609,-0.366046525,0.761761176,0.048036011
Vermont,50,Grand Isle,2634,-8.33E-17,-0.261107588,0.706708605,-0.15934126,1.134162648,-0.35991444
Kansas,20,Russell,2635,-3.47E-17,0.21377516,-0.528960831,-0.026860666,-0.126777597,0.068621405
Idaho,16,Caribou,2636,2.64E-16,0.027210538,-0.264823881,0.154703421,0.136276881,-0.28958625
Virginia,51,King and Queen,2637,-1.01E-16,-0.356323184,-0.339892774,0.071057527,0.029228901,0.142780329
Nebraska,31,Thurston,2638,2.08E-16,-0.007333263,-1.027290467,0.511883829,-0.877202676,0.020350293
Georgia,13,Treutlen,2639,1.73E-18,0.447000864,-0.579058165,0.342027503,-0.609275841,-0.476413844
Georgia,13,Talbot,2640,8.15E-17,-0.017789247,-0.13691756,0.243555959,0.1299141,-0.31657575
Nebraska,31,Burt,2641,-9.02E-17,-0.020637808,-0.138641875,0.149957518,0.333027691,-0.481625117
Kentucky,21,Cumberland,2642,1.27E-16,0.054275217,-0.81587274,0.682806309,-1.139944281,0.236789147
Minnesota,27,Norman,2643,1.73E-16,0.098087623,-1.181978752,0.159739286,-1.26806342,-0.121475219
Louisiana,22,Cameron,2644,-2.03E-16,0.065611765,-0.595762652,0.112407441,-0.247282046,-0.44120626
Virginia,51,Bland,2645,1.91E-16,0.322156239,-0.100566445,0.383266481,-0.137286051,-0.204248153
Tennessee,47,Hancock,2646,3.78E-16,-0.324354554,-0.730288709,0.478811988,-0.545697829,0.003616457
Kentucky,21,Fulton,2647,4.51E-17,-0.412968096,-0.902884566,-0.20389543,-0.36955979,-0.015391842
Georgia,13,Clinch,2648,1.34E-16,0.006734167,-0.592607643,0.444302547,-0.315413527,-0.190763943
Michigan,26,Ontonagon,2649,1.09E-16,-0.11401579,-0.636373484,-0.294434047,-0.34422992,-0.228485954
Nevada,32,Pershing,2650,6.59E-17,0.366545141,-0.334772645,0.470309243,-0.535653104,-0.090326776
Missouri,29,Gentry,2651,-5.03E-17,-0.372631103,0.381156289,0.492877877,0.556375253,-0.061029183
